id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
BR-112015030649-B1,composição líquida sanitizante da pele e método de sanitização da pele ,Ecolab Usa Inc.,"Joseph R. Wegner, Cheryl A. Littau",2013-06-06,2014-05-10,2020-12-01,,https://patents.google.com/patent/BR112015030649B1/pt,https://patentimages.storage.googleapis.com/88/45/6c/244d2884789482/img0020.png
BR-112018069052-B1,"Filme solúvel em água, embalagens que usam filme e métodos de fabricação e uso dos mesmos ","Monosol, Llc","Steven G. Friedrich, David M. Lee, Shinsuke Nii",2016-04-13,2017-04-13,2023-02-23,,https://patents.google.com/patent/BR112018069052B1/pt,https://patentimages.storage.googleapis.com/fe/1b/44/53c14d94906213/img0006.png
BR-PI0912690-A2,"método para produzir um aldeìdo, microorganismo geneticamente modificado, aldeìdo, método para produzir um álcool graxo, ácido nucleico isolado e polipeptìdeo isolado ",Ls9 Inc,"Andreas Schimer, Mathew Rude, Shane Brubaker",2008-05-16,2009-05-18,2012-04-17,,https://patents.google.com/patent/BRPI0912690A2/pt,
BR-112012027196-B1,processo para produzir poliuretanos ,Basf Se,"Klassen Johann, Schütte Markus, Fricke Marc, Zarbakhsh Sirus",2010-04-26,2011-04-20,2020-02-04,,https://patents.google.com/patent/BR112012027196B1/pt,
BR-PI1000211-A2,"composição cosmética capilar, uso da composição cosmética e processo de pentear ",Oreal,"Jonathan Gawtrey, Cecile Bebot, Ceferino Rodrigues",2009-01-30,2010-01-29,2011-03-29,,https://patents.google.com/patent/BRPI1000211A2/pt,
BR-112014014697-A2,"polipeptídeo isolado, composição, polinucleotídeo isolado, construto de ácido nucleico ou vetor de expressão, célula hospedeira recombinante, métodos para produzir um polipeptídeo e uma proteína, para gerar oxigênio molecular, e para remover peróxido de hidrogênio do tecido, processos para degradar ou converter um material celulósico, e para produzir um produto de fermentação, e, formulação de caldo integral ou composição de cultura de células ","Novozymes, Inc.","Junxin Duan, Yu Zhang, Lan Tang, Ye Liu",2011-12-19,2012-12-19,2020-10-27,,https://patents.google.com/patent/BR112014014697A2/pt,
BR-112018003971-B1,sistema gerador ou formulador de biocida ajustável ,Ecolab Usa Inc.,"Paul R. Kraus, Benjamin Crew, Junzhong Li, David D. Mcsherry, Ramakrishnan Balasubramanian, Richard Staub, Ariel Chatman Kleczewski, Minh Tran, Catherine Hanson, Irwan Yunus, Jeffery D. Breshears, Brian Paul Brunner",2015-09-04,2016-09-02,2021-02-17,,https://patents.google.com/patent/BR112018003971B1/pt,https://patentimages.storage.googleapis.com/1d/87/77/fdbf105a17b6fb/img0007.png
BR-112013024126-A2,aditivos químicos e seu uso em operações de processamento de vinhaça ,Hercules Inc,"jeffrey t Gross, Mccord Pankonen, Paul W Shepperd",2011-03-21,2012-02-10,2016-12-13,,https://patents.google.com/patent/BR112013024126A2/pt,
BR-112016001715-A2,Composição de filtro solar transparente e seu uso como filtro solar transparente pulverizável ,Sasol Germany Gmbh,"Lewing Petra, Brock Michael",2013-07-26,2014-07-23,2017-09-19,,https://patents.google.com/patent/BR112016001715A2/pt,
BR-112012029506-A2,composição de perfume e usos destas ,Firmenich & Cie,"Furrer Anton, Daugeron Jouault Aude, Berthier Damien, Wong Kenneth, Mounier Rémy, Bonnus Sophie",2010-06-10,2011-06-10,2017-02-21,,https://patents.google.com/patent/BR112012029506A2/pt,
BR-112015027794-A2,"Processo para a produção de 1,3-butadieno ",Synthos Sa,"Ochenduszko Agnieszka, Lewandowski Marek, Jones Mattew",2013-05-07,2014-05-05,2017-08-29,,https://patents.google.com/patent/BR112015027794A2/pt,
BR-112014014789-A2,composição ,Givaudan Sa,"Quellet Christian, Hotz Jutta",2011-12-23,2012-12-21,2017-06-13,,https://patents.google.com/patent/BR112014014789A2/pt,
BR-112015006802-A2,processo para a produção de benzoato de 2-butoxi-etila ,Dow Global Technologies Llc,"S Merenov Andrei, D Daugs Edward, L Trumble Jason, Ho Sing Yeung Patrick",2012-09-28,2013-09-24,2017-07-04,,https://patents.google.com/patent/BR112015006802A2/pt,
BR-PI0615697-A2,"processo para a produção de pelo menos um metabólito microbiano não volátil na forma sólida, formação sólida de um metabólico, e, uso da formulação ",Basf Se,"Markus Pompejus, Stephan Freyer, Markus Lohscheidt, Matthias Boy, Edzard Scholten, Oskar Zelder",2005-09-07,2006-09-06,2012-12-18,,https://patents.google.com/patent/BRPI0615697A2/pt,
BR-PI0700223-A,composição quìmica e método de detectar um composto orgánico ,Rohm & Haas,"Rajiv Manohar Banavali, Randall Wayne Stephens",2006-02-03,2007-02-02,2007-11-06,,https://patents.google.com/patent/BRPI0700223A/pt,
BR-112014020636-A2,processo biotecnológico para produção de butanol e ácido butírico ,Evonik Industries Ag,"Weuster-Botz Dirk, Krispin Harald (Falecido), Reinecke Liv, Haas Thomas, Schiemann Yvonne",2012-02-22,2013-02-22,2017-07-04,,https://patents.google.com/patent/BR112014020636A2/pt,
BR-PI0916147-A8,"Cepa de saccharomyces ap., método para a produção de um produto de fermentação e massa celular, e, uso da cepa de saccharomyces sp. ","C5 Ligno Tech In Lund Ab, Novozymes As","Hahn-Hängerdal Bärbel, Bengtsson Oskar, Bettiga Maurizio, Garcia Sanchez Rosa, Rundquist David, Gorwa-Grauslund Marie-Francoise",2008-11-24,2009-11-20,2017-12-12,,https://patents.google.com/patent/BRPI0916147A8/pt,
BR-PI0710328-A2,"composto da fórmula i, um tautomer da mesma, ou um sal farmaceuticamente aceitável, hidrato ou outro solvato do mesmo e método para o tratamento de cáncer em um mamìfero necessitado do mesmo e composição ",Ariad Pharma Inc,"Yihan Wang, Xiaotian Zhu, Rajeswari Sundaramoorthi, Wei-Sheng Huang, Dong ZOU, Mathew Thomas, Jiwei Qi, Jan Antoinette C Romero, David C Dalgarno, William C Shakespeare, Tomi K Sawyer, Chester A Metcalf Iii",2006-05-08,2007-05-08,2011-08-09,,https://patents.google.com/patent/BRPI0710328A2/pt,
BR-PI0610546-A2,composição inseticida aerossol ,Reckitt Benckiser Au Pty Ltd,"Mario Abela, Thao Allen, Daniel Sheehy, Peter John Vousden",2005-04-22,2006-04-20,2010-07-06,,https://patents.google.com/patent/BRPI0610546A2/pt,
BR-PI0820211-B1,"Methods of maldi mass spectrometry to analyze an analysis of aerosol and, for the classification of biomaterials ",Biosparq B.V.,"Laurens Wuijckhuijse Arjan, Eliza Kientz Charles, Elisabeth Anna Maria Degenhardt-Langelaan Carla",2007-11-13,2008-11-13,2017-06-27,,https://patents.google.com/patent/BRPI0820211B1/pt,
BR-112014006719-B1,Adesivo não aquoso compreendendo lidocaína ,"Itochu Chemical Frontier Corporation, Oishi Koseido Co., Ltd","Tatsuya Mori, Naoyuki Saida, Yoshihiro Yanai",2011-09-27,2011-09-27,2021-09-14,,https://patents.google.com/patent/BR112014006719B1/pt,https://patentimages.storage.googleapis.com/76/14/3f/aaed0e338df91b/img0004.png
BR-PI0815768-B1,"uso de absorventes de uv, e, composição cosmética. ",Basf Se,"Bernd Herzog, Katja Quass, Stephanie Acker",2007-08-30,2008-08-26,2016-10-11,,https://patents.google.com/patent/BRPI0815768B1/pt,
BR-112019012712-A2,preparação de um extrato de biomassa seca rico em polifenóis ,Antofenol,"Rolet Fanny, Fabre Ludovic",2016-12-22,2017-12-21,2019-11-26,,https://patents.google.com/patent/BR112019012712A2/pt,
BR-112019004601-B1,Processo para desidratação de mono-álcool(is) usando um silicato de alumínio cristalino modificado ,"IFP Energies Nouvelles, Total Research & Technology Feluy","Nesterenko Nikolai, Dupont Colin, Coupard Vincent, Maury Sylvie, Heinz Thibault",2016-09-09,2017-09-06,2022-08-02,,https://patents.google.com/patent/BR112019004601B1/pt,
BR-PI0922040-A2,uso líquidos iônicos para implementar um processo de preparo de biodiesel ,"Centre National De La Recherche Scientifique, Universidad De Murcia","Pedro Lozano, Teresa De Diego, José Luis Iborra, Michel Vaultier",2008-11-21,2009-11-20,2020-07-28,,https://patents.google.com/patent/BRPI0922040A2/pt,
BR-112017028231-B1,"Processos de produção de ácido 2,5-furanodicarboxílico e ésteres do mesmo ",E. I. Du Pont De Nemours And Company,"Pranit S. Metkar, Ronnie Ozer, Bhuma Jagopalan",2015-07-24,2016-07-21,2022-01-25,,https://patents.google.com/patent/BR112017028231B1/pt,
BR-PI0714935-A2,processo de fabricaÇço de compostos diÉsteres ,Rhodia Operations,"Philippe Leconte, Philippe Marion, Roland Jacquot",2006-07-18,2007-07-05,2013-02-26,,https://patents.google.com/patent/BRPI0714935A2/pt,
BR-122019026987-B1,"Polipeptídeo variante da ácido carboxílico redutase (car), célula hospedeira recombinante, cultura de células e método de produzir uma composição de álcool graxo com alto título, rendimento ou produtividade ","Genomatica, Inc","Derek L. Greenfield, Elizabeth J. Clarke, Eli S. Groban, Vikranth Arlagadda, Sungwon Lee, Xuezhi Li, Zhihao Hu, Baolong Zhu",2012-04-02,2013-04-02,2022-01-18,,https://patents.google.com/patent/BR122019026987B1/pt,https://patentimages.storage.googleapis.com/f9/8c/d0/5220a95d6359a3/img0025.png
BR-112014026542-B1,"alcoxilato de álcool graxo, composição surfactante líquida, mistura, etoxilato de álcool graxo, emulsificador aniônico para composições agrícolas, solvente agrícola, limpador aquoso de superfície rígida, composição aditiva de revestimento ou de pintura, formulação de detergente de lavagem de roupa, espumificador, aditivo de espuma ou dispersante para uso em aplicações de gesso, concreto ou de combate a incêndios e composição surfactante para uso em recuperação aprimorada de petróleo ",Stepan Company,"David R. Allen, Marcos Alonso, Mary Beddaoui, Randal J. Bernhardt, Aaron Brown, Xue Min Dong, Wilma Gorman, John C. Hutchison, Gary Luebke, Renee Luka, Franz Luxem, Andrew D. Malec, Ronald A. Masters, Dennis S. Murphy, Patti Skelton, Brian Sook, Chris Spaulding, Michael Wiester, Patrick Shane Wolfe",2012-04-24,2013-03-13,2021-01-12,,https://patents.google.com/patent/BR112014026542B1/pt,
BR-PI0708669-B1,processo para produção de álcoois de anidroaçúcar de hexitol ou pentitol ,Archer Daniels Midland Co,Alexandra J Sanborn,2006-03-09,2007-03-09,2016-10-18,,https://patents.google.com/patent/BRPI0708669B1/pt,
BR-PI0813730-B1,"composição de produto de cuidado pessoal, uso de uma composição de produto de cuidado pessoal estabilizada e método de formação de uma composição de produto de cuidado pessoal estabilizada ",Givaudan Sa,Andreas Natsch,2007-06-22,2008-06-17,2016-09-13,,https://patents.google.com/patent/BRPI0813730B1/pt,
BR-112021009163-A2,combinações sinergísticas de bactéria e levedura ,Lallemand Hungary Liquidity Management Llc.,"Jeffery R. Broadbent, Aaron Argyros, Brooks Henningsen, Fernanda Cristina Firmino, Ekkarat Phrommao, James L. Steele",2018-11-13,2019-11-13,2021-08-17,,https://patents.google.com/patent/BR112021009163A2/pt,
BR-112017008201-B1,"Unidade de teste de gás, e, métodos para avaliar a adequabilidade e para determinar a possibilidade de um substrato ","Lanzatech Nz, Inc","Bjorn Daniel Heijstra, Sean Dennis Simpson, Nicholas Bourdakos, Jason Carl Bromley, Kai-Ming Yap",2014-10-22,2015-10-21,2022-11-08,,https://patents.google.com/patent/BR112017008201B1/pt,https://patentimages.storage.googleapis.com/5f/ad/e5/58983e71f3c67d/img0007.png
BR-112019021082-B1,Composição compreendendo complexos de partículas finas para alimentos e método para produzir a composição ,"Mizkan Holdings Co., Ltd","Tatsuya Higuchi, Junichiro Ihara",2017-10-03,2018-04-13,2020-08-18,,https://patents.google.com/patent/BR112019021082B1/pt,
BR-PI0918879-B1,Queratínica material clarification process and device with various compartments ,L'oréal,"Hercouet Leila, Bernard Anne-Laure, Bordeaux Dominique",2008-12-19,2009-12-18,2017-06-27,,https://patents.google.com/patent/BRPI0918879B1/pt,
BR-PI0906026-B1,método para remover inibidores de fermentação de uma biomassa a base de polissacarídeos ,Toray Industries,"Kurihara Hiroyuki, Hanakawa Masayuki, Minegishi Shinichi",2008-03-05,2009-02-27,2018-12-04,,https://patents.google.com/patent/BRPI0906026B1/pt,
BR-PI0717520-A2,"Instalação para destilação de álcool, especialmente álcool etílico, de mosto fermentado ",Gea Wiegand Gmbh,"Daniel Bethge, Paul Hildenbrand",2006-10-18,2007-10-18,2013-12-03,,https://patents.google.com/patent/BRPI0717520A2/pt,
BR-122021011002-B1,"Composição cosmética de cabelos e processo para moldar, alterar o formato ou cuidar do cabelo ",L'oreal,"Camila Maciel Biato, Erika Alegrio Jarque Petali, Bruno Maiko Sato, Sintia AGUIAR, Liliane Silvestre De Almeida, Serge Restle",2015-04-02,2016-04-01,2022-01-11,,https://patents.google.com/patent/BR122021011002B1/pt,https://patentimages.storage.googleapis.com/55/b0/8c/e41e8f1efcf97b/img0028.png
BR-112020012165-A2,métodos para a remoção aumentada de impurezas durante a cromatografia de proteína a ,Genzyme Corporation,Carl A. BEIGIE,2017-12-21,2018-12-20,2020-11-24,,https://patents.google.com/patent/BR112020012165A2/pt,
BR-112017009030-B1,Métodos para conversão de uma ligação co ou c=o em uma ligação c-h ,Organofuel Sweden Ab,"Armando Córdova, Samson AFEWERKI, Carlos PALO-NIETO",2014-10-30,2015-10-30,2021-01-12,,https://patents.google.com/patent/BR112017009030B1/pt,
BR-PI0902724-A2,dispositivo de abastecimento de combustìvel para motor de combustão interna de combustìvel flexìvel ,Toyota Motor Co Ltd,"Kazuchika Tashima, Masahiko Teraoka, Tomohiro Fujita",2008-08-21,2009-08-19,2010-05-25,,https://patents.google.com/patent/BRPI0902724A2/pt,
BR-112019024317-B1,Método para produzir corpos tridimensionais moldados em camadas ,Ask Chemicals Gmbh,"Natascha Hurkes, Dennis Bartels, Jens Muller",2017-06-08,2018-06-05,2023-03-28,,https://patents.google.com/patent/BR112019024317B1/pt,
BR-112014031262-B1,"Biocatalisador, método para produzir um biocatalisador, processo metabólico, processo para metabolizar carbono orgânico, processo para a redução biológica de fosfato, processo para tratar água e processo para bioconversão do substrato ",Microvi Biotech Inc,"Fatemeh Razavi-Shirazi, Ameen(nmn) Razavi, Farhad DORRI-NOWKOORANI, Mohammad Ali Dorri",2012-06-15,2013-06-14,2021-09-08,,https://patents.google.com/patent/BR112014031262B1/pt,https://patentimages.storage.googleapis.com/03/f8/51/1573bac857ba7b/img0030.png
BR-112019009910-B1,Péletes com composição de copolímero de etileno-álcool vinílico e método de produção de péletes com composição de copolímero de etileno-álcool vinílico ,Mitsubishi Chemical Corporation,"Takuya Nakajima, Nobuyuki Yamamoto",2016-12-28,2017-12-27,2022-12-06,,https://patents.google.com/patent/BR112019009910B1/pt,
BR-112020007924-A2,"derivados macrocíclicos, processo para a preparação dos mesmos e composições farmacêuticas contendo os mesmos ","Les Laboratoires Servier, Vernalis (R&D) Limited","Jérôme-Benoît STARCK, Didier Durand, I-Jen Chen, Arnaud Le Tiran, Jean-Claude Ortuno, Miklós Nyerges, Melinda Ligeti, Imre Fejes",2017-10-25,2018-10-24,2020-10-20,,https://patents.google.com/patent/BR112020007924A2/pt,
BR-PI0614995-A2,"composto ou um sal, solvato ou estereoisemero farmaceuticamente aceitável do mesmo, composição farmacêutica, uso de uma quantidade terapêutica ou profilaticamente eficaz de um composto ou um sal, solvato ou estereoisemero farmaceuticamente aceitável do mesmo, e, forma de dosagem unitária única ",Celgene Corp,"George W Muller, Hon-Wah Man, Alexander L Ruchelman, Roger S C Chen",2005-08-31,2006-08-25,2010-01-12,,https://patents.google.com/patent/BRPI0614995A2/pt,
BR-102021014621-A2,"Processo para preparar 1,4-cicloexanodicarboxilatos de dialquila e seu uso ",Evonik Operations Gmbh,"Johannes Kraft, Lena Altmann, Johan ANTON, Michael Grass, Thomas Schneider",2020-07-28,2021-07-26,2022-03-03,,https://patents.google.com/patent/BR102021014621A2/pt,
BR-PI0920891-B1,Mistura de alfa-amilase e método para produção de um açúcar fermentável ,Danisco Us Inc,"Vivek Sharma, Jayarama Shetty, Bradley A. Paulson",2008-09-25,2009-09-11,2023-01-10,,https://patents.google.com/patent/BRPI0920891B1/pt,https://patentimages.storage.googleapis.com/a4/5f/e4/36541a30646596/img0008.png
BR-PI0610862-B1,processo para a transesterificação ,Evonik Roehm Gmbh,"Alexander May, Bernd Vogel, Hermann Siegert, Jochen Ackermann, Sönke Bröcker, Udo Gropp",2005-05-20,2006-05-12,2016-12-06,,https://patents.google.com/patent/BRPI0610862B1/pt,
BR-112020000696-A2,"célula microbiana, método para produção de espermidina, e, uso de uma célula microbiana ",Chrysea Limited,"Jiufu Qin, Anastasia Krivoruchko, Florian David, Jens Nielsen",2017-07-14,2018-07-13,2020-07-14,,https://patents.google.com/patent/BR112020000696A2/pt,
BR-PI0913682-A2,"método para identificar enzimas dihidróxi-ácido desidratase (dhad) [2fe-2s], célula hospedeira microbiana recombinante, método para a produção de isobutanol e método para a conversão de 2,3-dihidróxiisovalerato ",Butamax Advanced Biofuels Llc,"Dennis Flint, Jean-Francois Tomb, Rick W. Ye, Steven Cary Rothman, Wonchul Suh",2008-09-29,2009-09-29,2020-08-11,,https://patents.google.com/patent/BRPI0913682A2/pt,
